"a_number","b_number","duration","noDayTime","noNightTime","calleeCarrier","weight","startTime","callDay","startDate"
"1368","1173","3706","44","1","","4561.0","17.2138","Wednesday","20151007"
"1218","1008","141","1","0","","1.0","7.3222","Thursday","20151008"
"1292","1350","464","13","0","","721.0","12.4507","Monday","20151005"
"1292","929","150","5","0","","241.0","10.3423","Wednesday","20151007"
"1292","904","1797","21","0","","2161.0","12.2936","Wednesday","20151007"
"1292","1207","2926","21","0","","3361.0","10.2811","Sunday","20151011"
"1292","1192","75","5","0","","241.0","8.0726","Friday","20151009"
"1340","621","781","17","4","","1441.0","8.0417","Wednesday","20151007"
"896","1023","4208","33","0","","5041.0","9.5005","Monday","20151005"
"896","1340","21887","137","84","","29041.0","6.1827","Friday","20151009"
"896","1359","326","13","0","","721.0","10.0327","Saturday","20151010"
"896","1196","665","5","0","","721.0","10.5939","Saturday","20151010"
"896","845","511","17","0","","961.0","11.363","Thursday","20151008"
"896","1194","11175","52","37","","13921.0","17.4603","Sunday","20151011"
"896","654","4329","65","28","","7681.0","16.1618","Sunday","20151011"
"896","1277","765","5","0","","721.0","9.5224","Saturday","20151010"
"886","1394","68","0","5","","241.0","18.5642","Wednesday","20151007"
"989","1109","2353","13","0","","2401.0","10.1502","Tuesday","20151006"
"989","1275","160","5","0","","241.0","14.0507","Tuesday","20151006"
"989","1059","1048","4","13","","1441.0","17.3246","Monday","20151005"
"804","1273","1755","9","0","","1921.0","14.5121","Thursday","20151008"
"804","1333","145","5","0","","241.0","13.2257","Monday","20151005"
"1382","1023","11795","0","5","","9601.0","18.2857","Thursday","20151008"
"1382","1173","1771","44","17","","4081.0","17.2829","Wednesday","20151007"
"1382","1307","604","13","0","","1201.0","10.4931","Wednesday","20151007"
"1382","1134","208","21","0","","1201.0","14.0735","Saturday","20151010"
"1382","1286","372","13","0","","721.0","15.09","Wednesday","20151007"
"1303","1376","1852","0","21","","2401.0","18.2105","Wednesday","20151007"
"1347","1285","375","0","5","","481.0","19.3018","Friday","20151009"
"1347","1173","1185","29","0","","2161.0","16.5529","Tuesday","20151006"
"1347","1186","787","13","0","","1201.0","16.1622","Tuesday","20151006"
"1347","1342","1277","5","4","","1441.0","14.4745","Thursday","20151008"
"1347","1384","1115","5","0","","961.0","14.5042","Thursday","20151008"
"1362","1081","689","13","0","","1201.0","7.1145","Friday","20151009"
"1362","654","450","5","0","","481.0","11.253","Friday","20151009"
"1362","1326","1250","0","5","","1201.0","17.0018","Monday","20151005"
"1379","1307","64","0","5","","241.0","23.2657","Thursday","20151008"
"1130","1259","2752","29","8","","3601.0","10.1211","Monday","20151005"
"1130","1226","580","5","0","","481.0","14.1504","Tuesday","20151006"
"1274","896","1517","29","0","","2401.0","11.5113","Tuesday","20151006"
"1274","1340","1450","16","5","","2161.0","4.5746","Thursday","20151008"
"1274","1350","355","13","0","","721.0","9.2013","Saturday","20151010"
"1274","1086","564","13","0","","961.0","7.463","Saturday","20151010"
"1274","767","90","5","0","","241.0","12.5141","Monday","20151005"
"1371","568","4506","85","64","","10081.0","16.0533","Monday","20151005"
"1173","1052","1156","29","12","","2641.0","13.4126","Thursday","20151008"
"1173","896","23796","125","80","","30721.0","10.2743","Tuesday","20151006"
"1173","1004","1551","16","5","","2161.0","19.375","Saturday","20151010"
"1169","1107","2223","24","21","","3121.0","21.4728","Friday","20151009"
"1371","1306","1858","13","0","","1921.0","13.0258","Tuesday","20151006"
"1371","1381","565","0","5","","481.0","18.2249","Friday","20151009"
"1130","1077","953","5","8","","1441.0","8.4828","Friday","20151009"
"1130","1214","1723","17","0","","1921.0","14.5144","Tuesday","20151006"
"1130","1188","6683","72","13","","8641.0","20.3329","Friday","20151009"
"1130","896","1737","13","0","","2161.0","10.3135","Saturday","20151010"
"1269","870","23701","65","28","","26161.0","8.3621","Friday","20151009"
"1307","1311","1878","5","16","","2641.0","13.4729","Friday","20151009"
"1196","1258","1044","0","13","","1201.0","23.504","Tuesday","20151006"
"1196","1307","4946","65","56","","9361.0","14.4359","Thursday","20151008"
"1392","621","2816","61","4","","5041.0","15.4307","Wednesday","20151007"
"1392","1328","4719","85","8","","7921.0","13.3128","Thursday","20151008"
"1173","1286","534","29","0","","1681.0","11.1015","Wednesday","20151007"
"1173","1196","189","4","1","","241.0","17.5205","Wednesday","20151007"
"1173","1003","713","0","13","","1201.0","1.5755","Sunday","20151011"
"975","1367","2712","5","4","","2641.0","16.1556","Wednesday","20151007"
"975","904","186","8","1","","481.0","20.5153","Sunday","20151011"
"975","1363","9920","93","4","","12721.0","9.491","Monday","20151005"
"975","1286","61","1","0","","1.0","14.2736","Tuesday","20151006"
"975","1003","120","1","0","","1.0","15.2603","Friday","20151009"
"975","1116","180","1","0","","1.0","10.3613","Wednesday","20151007"
"975","1307","486","8","5","","721.0","18.3804","Sunday","20151011"
"1075","1110","113","5","4","","481.0","16.1206","Tuesday","20151006"
"1173","1333","675","5","0","","721.0","12.1707","Tuesday","20151006"
"1173","1030","407","8","5","","721.0","19.1854","Monday","20151005"
"1173","867","4721","21","16","","6001.0","13.5012","Thursday","20151008"
"1186","1023","2736","16","45","","4561.0","19.4801","Wednesday","20151007"
"1186","1273","1085","32","5","","2161.0","17.5455","Friday","20151009"
"1186","1269","4369","16","33","","6001.0","4.0603","Thursday","20151008"
"1091","804","160","0","5","","241.0","17.382","Thursday","20151008"
"1091","1307","16287","101","16","","18721.0","15.215","Wednesday","20151007"
"1091","1275","150","0","5","","241.0","17.3919","Thursday","20151008"
"1091","904","461","5","8","","721.0","10.3702","Tuesday","20151006"
"1091","1376","3254","21","0","","3841.0","15.1927","Sunday","20151011"
"1091","1116","1525","5","0","","1441.0","16.5524","Friday","20151009"
"1091","897","525","5","0","","481.0","16.15","Monday","20151005"
"1273","1332","46903","256","93","","59041.0","20.3213","Thursday","20151008"
"1332","1273","81785","173","32","","87121.0","16.241","Tuesday","20151006"
"1332","1259","140","5","0","","241.0","15.1751","Friday","20151009"
