"a_number","b_number","duration","calleeCarrier","weight","startTime","callDay","startDate"
"1368","1173","154","","1.0","17.2138","Wednesday","20151007"
"1218","1008","141","","1.0","7.3222","Thursday","20151008"
"1292","1350","8","","1.0","12.4507","Monday","20151005"
"1292","929","30","","1.0","10.3423","Wednesday","20151007"
"1292","904","25","","1.0","12.2936","Wednesday","20151007"
"1292","904","115","","1.0","10.5031","Wednesday","20151007"
"1292","1207","326","","1.0","10.2811","Sunday","20151011"
"1292","1207","326","","1.0","10.2811","Sunday","20151011"
"1292","1350","8","","1.0","12.4507","Monday","20151005"
"1292","929","30","","1.0","10.3423","Wednesday","20151007"
"1292","904","25","","1.0","12.2936","Wednesday","20151007"
"1292","904","115","","1.0","10.5031","Wednesday","20151007"
"1292","1207","124","","1.0","10.1359","Sunday","20151011"
"1292","1207","124","","1.0","10.1359","Sunday","20151011"
"1292","1207","38","","1.0","10.2724","Sunday","20151011"
"1292","1207","38","","1.0","10.2724","Sunday","20151011"
"1292","1192","15","","1.0","8.0726","Friday","20151009"
"1292","1192","15","","1.0","8.0726","Friday","20151009"
"1340","621","13","","1.0","8.0417","Wednesday","20151007"
"1340","621","13","","1.0","8.0417","Wednesday","20151007"
"896","1023","68","","1.0","9.5005","Monday","20151005"
"896","1340","11","","1.0","6.1827","Friday","20151009"
"896","1359","22","","1.0","10.0327","Saturday","20151010"
"896","1196","133","","1.0","10.5939","Saturday","20151010"
"896","845","47","","1.0","11.363","Thursday","20151008"
"896","1023","68","","1.0","9.5005","Monday","20151005"
"896","1194","87","","1.0","17.4603","Sunday","20151011"
"896","1340","41","","1.0","10.1213","Friday","20151009"
"896","1359","27","","1.0","9.3323","Saturday","20151010"
"896","1194","38","","1.0","11.2136","Friday","20151009"
"896","1194","74","","1.0","18.3751","Thursday","20151008"
"896","1194","42","","1.0","13.1612","Monday","20151005"
"896","1194","132","","1.0","16.2327","Saturday","20151010"
"896","1340","11","","1.0","6.1827","Friday","20151009"
"896","1194","30","","1.0","8.1806","Wednesday","20151007"
"896","654","69","","1.0","16.1618","Sunday","20151011"
"896","1359","22","","1.0","10.0327","Saturday","20151010"
"896","1194","87","","1.0","17.4603","Sunday","20151011"
"896","1196","133","","1.0","10.5939","Saturday","20151010"
"896","1277","153","","1.0","9.5224","Saturday","20151010"
"896","1277","153","","1.0","9.5224","Saturday","20151010"
"896","845","47","","1.0","11.363","Thursday","20151008"
"896","1194","38","","1.0","11.2136","Friday","20151009"
"896","1194","74","","1.0","18.3751","Thursday","20151008"
"896","1340","41","","1.0","10.1213","Friday","20151009"
"896","1359","27","","1.0","9.3323","Saturday","20151010"
"896","1194","132","","1.0","16.2327","Saturday","20151010"
"896","1194","42","","1.0","13.1612","Monday","20151005"
"896","654","69","","1.0","16.1618","Sunday","20151011"
"896","1194","30","","1.0","8.1806","Wednesday","20151007"
"886","1394","28","","1.0","18.5642","Wednesday","20151007"
"886","1394","10","","1.0","17.4751","Sunday","20151011"
"989","1109","109","","1.0","10.1502","Tuesday","20151006"
"989","1109","226","","1.0","13.4659","Wednesday","20151007"
"989","1109","109","","1.0","10.1502","Tuesday","20151006"
"989","1275","32","","1.0","14.0507","Tuesday","20151006"
"989","1275","32","","1.0","14.0507","Tuesday","20151006"
"989","1059","16","","1.0","17.3246","Monday","20151005"
"989","1059","16","","1.0","17.3246","Monday","20151005"
"989","1109","226","","1.0","13.4659","Wednesday","20151007"
"804","1273","83","","1.0","14.5121","Thursday","20151008"
"804","1273","83","","1.0","14.5121","Thursday","20151008"
"804","1333","29","","1.0","13.2257","Monday","20151005"
"804","1333","29","","1.0","13.2257","Monday","20151005"
"1382","1023","2359","","1.0","18.2857","Thursday","20151008"
"1382","1173","23","","1.0","17.2829","Wednesday","20151007"
"1382","1307","12","","1.0","10.4931","Wednesday","20151007"
"1382","1134","8","","1.0","14.0735","Saturday","20151010"
"1382","1134","11","","1.0","8.5115","Wednesday","20151007"
"1382","1173","24","","1.0","16.1953","Thursday","20151008"
"1382","1173","11","","1.0","6.205","Tuesday","20151006"
"1382","1134","10","","1.0","8.4849","Wednesday","20151007"
"1382","1134","8","","1.0","14.0735","Saturday","20151010"
"1382","1286","36","","1.0","15.09","Wednesday","20151007"
"1382","1173","9","","1.0","6.1728","Friday","20151009"
"1382","1173","11","","1.0","9.3852","Friday","20151009"
"1382","1173","11","","1.0","9.3852","Friday","20151009"
"1382","1023","2359","","1.0","18.2857","Thursday","20151008"
"1382","1173","24","","1.0","16.1953","Thursday","20151008"
"1382","1286","24","","1.0","14.3115","Wednesday","20151007"
"1382","1286","24","","1.0","14.3115","Wednesday","20151007"
"1382","1173","23","","1.0","17.2829","Wednesday","20151007"
"1382","1173","11","","1.0","6.205","Tuesday","20151006"
"1382","1173","34","","1.0","16.0118","Sunday","20151011"
"1382","1173","34","","1.0","16.0118","Sunday","20151011"
