"number","callOtherCarrierRatio","weekdayCall","color","memberProfile","averageArpu","closeness","nighttimeCall","averageDurationProfile","aisRatioProfile","daytimeCall","daytimeNighttimeProfile","outGroupCall","averageNoOfCallProfile","member","weekdayWeekendProfile","averageArpuProfile","callOtherCarrierProfile","eccentricity","averageNoOfCall","aisRatio","averageDurationCall","weekendCall","inGroupCall","betweenness","communityID"
"1220","1","2","#ca85c2","Very Low","141.5","0.0","2","Very Low","Very High","0","Average","0","Very Low","2","Average","Very Low","Very High","0.0","1","1","257","0","2","0.0","1220"
"1217","1","24","#a4e512","Very Low","115.04","0.0","6","Very Low","Low","24","Daytime","0","Very Low","10","Weekday","Very Low","Very High","0.0","7.5","0.4","38","6","30","0.0","1217"
"1216","1","0","#65e688","Very Low","88.39","0.0","0","Low","Very High","1","Average","0","Very Low","2","Average","Very Low","Very High","0.0","0.5","1","1084","1","1","0.0","1216"
"1215","0.88","2937","#5c6cc6","Very Low","115.14","1.7289156626506024","1307","Very Low","Low","2210","Daytime","439","Very Low","674","Weekday","Very Low","Very High","3.0","12.25","0.43","125.12","580","3517","168.35263560122215","1215"
"1214","0.91","1492","#a27ed4","Very Low","90.84","1.9036144578313252","879","Very Low","Medium","1128","Daytime","120","Very Low","375","Weekday","Very Low","Very High","3.0","9.51","0.56","236.11","515","2007","17.49916828287116","1214"
"1213","1","17","#495bac","Very Low","66.41","0.0","12","Very Low","High","10","Average","0","Very Low","5","Average","Very Low","Very High","0.0","5.5","0.8","78.5","5","22","0.0","1213"
"1212","0.94","3220","#68a938","Very Low","86.57","1.6265060240963856","1060","Very Low","Low","2870","Daytime","327","Very Low","989","Weekday","Very Low","Very High","3.0","9.85","0.4","131.03","710","3930","131.0096692015697","1212"
"1211","1","42","#49a09f","Very Low","120.25","0.0","18","Very Low","High","38","Daytime","0","Very Low","6","Weekday","Very Low","Very High","0.0","14","0.67","143.18","14","56","0.0","1211"
"1210","1","0","#926860","Very Low","148","0.0","0","Very Low","Very High","2","Average","0","Very Low","2","Average","Very Low","Very High","0.0","1","1","574","2","2","0.0","1210"
"1219","1","3","#828e9b","Very Low","133","0.0","2","Very Low","High","2","Average","0","Very Low","4","Average","Very Low","Very High","0.0","1.33","0.75","160.75","1","4","0.0","1219"
"1218","0.89","3205","#59699a","Very Low","128.95","1.7891566265060241","1397","Very Low","Low","2392","Daytime","375","Very Low","905","Weekday","Very Low","Very High","3.0","10.64","0.39","116.32","584","3789","105.19820013547172","1218"
"1231","1","6","#9c6997","Very Low","199.5","0.0","4","Very Low","Low","8","Average","0","Very Low","6","Weekend","Very Low","Very High","0.0","6","0.33","198","6","12","0.0","1231"
"1230","1","6","#a28c99","Very Low","0","0.0","10","Very Low","Very High","4","Nighttime","0","Very Low","6","Weekend","Very Low","Very High","0.0","2.8","0.83","68.07","8","14","0.0","1230"
"0","1","0","#8259cc","Very Low","0","0.0","4","Very Low","Very High","0","Average","0","Very Low","2","Weekend","Very Low","Very High","0.0","2","1","8","4","4","0.0","0"
"1228","1","17","#1058e6","Very Low","120.81","0.0","13","Very Low","Very High","18","Average","0","Very Low","6","Weekend","Very Low","Very High","0.0","5.17","1","244.52","14","31","0.0","1228"
"1","1","22","#81ae35","Very Low","33.64","0.0","4","Very Low","Medium","18","Daytime","0","Very Low","4","Weekday","Very Low","Very High","0.0","11","0.5","106.18","0","22","0.0","1"
